GeneId,GSM2843848,GSM2843849,GSM2843850,GSM2843851,GSM2843852,GSM2843853,GSM2843854,GSM2843855,GSM2843856,GSM2843857,GSM2843858,GSM2843859,GSM2843860,GSM2843861,GSM2843862,GSM2843863
Gene_100287102,1.316888963,1.651309715,1.246739132,1.535280715,1.346530869,1.546363777,1.433009756,1.64392972,1.484571717,1.47419475,1.423274367,1.533405893,0.994554511,1.614152741,1.335502686,1.302651828
Gene_653635,3.440422546,3.325131725,3.195542002,3.339973965,3.125165896,3.222279426,3.315405515,3.334212193,3.382536458,3.378970944,3.378295976,3.379429941,3.14543429,3.251038235,3.301012348,3.344774509
Gene_102466751,1.624622188,1.504666294,1.359979524,1.493145826,1.222987912,1.218505715,1.405149769,1.352648966,1.531375886,1.571839009,1.65602623,1.420795669,0.994554511,1.344799948,1.497411658,1.361065564
Gene_100996442,1.767795133,1.373957172,1.224622903,1.350373291,1.541297712,1.257504631,1.75902639,1.63318707,1.220833711,1.204806622,1.743187995,1.351231292,1.155733514,0.865472734,1.668873095,1.663568606
Gene_729737,3.314411857,3.160320815,3.280541312,3.110905236,3.134025362,3.088850398,3.158872182,3.239511897,3.530928861,3.101231577,3.48940145,3.236263101,2.490548387,3.065445833,3.458954224,3.168951572
Gene_102725121,1.485944851,1.725182737,1.421814639,1.657042349,1.541297712,1.633013085,1.704828032,1.771699772,1.695654077,1.651509064,1.310944964,1.580369893,1.297983969,1.666608045,1.31313448,1.276893072
Gene_102723897,3.483799174,3.328069476,3.308169132,3.340131332,3.110339216,3.245128959,3.433471654,3.325464466,3.472542571,3.407123222,3.421564255,3.312690072,3.089598841,3.235586383,3.36437275,3.41628979
Gene_102465909,1.702082075,1.53440775,1.556931222,1.600414864,1.262011473,1.506203641,1.560680146,1.41082455,1.7390099,1.663474301,1.68706486,1.507871029,1.082578753,1.226356693,1.432761401,1.458565395
Gene_112268260,0.965041514,1.141101243,1.026914788,1.284095228,1.202077231,0.858269211,0.93339376,1.028810312,0.650582902,0.930065205,1.06957835,1.351231292,0.884032944,1.021368762,1.032724966,1.361065564
Gene_729759,2.046246883,1.777483706,1.359979524,1.979307034,1.941548329,2.028019028,1.711984422,1.755591824,1.664142139,1.985814311,1.833209851,1.86422976,1.677568886,2.123867052,1.734487962,1.289963396
Gene_100132287,3.363805247,3.282625615,3.298898852,3.249673628,3.288430444,3.350578345,3.337812897,3.308801473,3.4362658,3.201035099,3.420901293,3.311451604,2.45486416,3.184432092,3.501584361,3.309688175
Gene_113219467,1.855814202,1.665709739,1.721826501,1.878097645,1.703187214,1.789591819,1.739485984,1.493232833,1.725033411,1.651509064,1.37689335,1.928667305,2.248949922,2.001160399,1.60347507,1.67960986
Gene_81399,2.275464295,1.954806716,1.75651019,2.145338107,2.121172918,2.206961577,1.880467777,1.945335244,1.984540676,2.192108809,2.092759248,2.05730115,1.984124357,2.343715452,2.013571126,1.891411088
Gene_100133331,3.464617756,3.305617247,3.325057443,3.279982128,3.408412353,3.316133308,3.454903573,3.40017031,3.465628849,3.242776197,3.37866175,3.259239082,2.473072674,3.189501339,3.491807351,3.404087593
Gene_107984841,2.628891771,2.674877666,2.679163696,2.626934853,2.689836722,2.689238137,2.593881569,2.638201832,2.823505496,2.586614016,2.458726981,2.635449085,2.069999314,2.612451772,2.720986978,2.568621763
Gene_107984847,2.953925989,2.973360935,2.982521209,2.919650688,2.911469958,2.970758571,2.883496408,2.866907734,3.015319889,2.883895828,2.791276865,2.97625094,2.451469909,3.098476487,2.986052116,2.899215331
Gene_107984849,1.984205483,2.114424566,2.235223456,2.189797315,2.089042438,2.1535212,1.930448229,2.088531596,2.172005652,2.081262598,2.124525033,2.05730115,1.623752631,2.080382097,2.271539804,1.900975323
Gene_100288069,1.550860422,1.788297818,1.597227407,1.600414864,1.722999426,1.617011358,1.518469767,1.57508508,1.531375886,1.483224572,1.578758495,1.713505884,1.273019607,1.277669756,1.526452857,1.475689405
Gene_105378580,1.550860422,1.571137729,1.634100099,1.752034884,1.613436128,1.385754556,1.290577089,1.522265108,1.263971452,1.517575879,1.412135171,1.031422652,2.112917337,1.36505334,1.658634655,1.26341715
Gene_79854,1.280999524,1.413677726,1.325412799,1.265815143,1.314668687,1.293288256,1.077230516,1.205932771,1.263971452,1.267864549,1.265962427,1.351231292,1.343980678,1.591257872,1.678875714,1.235142014
Gene_643837,1.607322696,1.413677726,1.28785503,1.226770979,1.297815844,1.357065611,1.529413165,1.428604721,1.372422762,1.204806622,1.364480578,0.944496538,1.120694636,1.323555636,1.377053906,1.371861402
Gene_148398,1.607322696,1.426149672,1.061288318,1.394188188,1.079083834,1.484639231,1.106810681,1.599266349,1.837084967,1.483224572,1.693015,1.507871029,0.942800045,2.044649209,1.999623412,1.579710507
Gene_26155,3.06110481,2.919993685,2.761633154,2.700077736,2.716195456,3.019849462,3.155817679,3.190840529,3.138146747,2.826644007,3.123120075,3.089744164,2.548754125,3.006830561,2.836187701,3.166734239
Gene_339451,1.779823626,1.571137729,1.359979524,1.350373291,1.569771901,1.67775835,1.704828032,1.730251095,1.459131259,1.89212104,1.893075192,1.897642536,0.735415076,1.921014724,1.678875714,2.07735025
Gene_57801,1.550860422,1.164177864,1.224622903,1.226770979,1.202077231,1.074714283,1.570621484,1.64392972,1.484571717,1.282295557,1.649543144,1.875655372,1.297983969,1.676379536,1.449848362,1.652535513
Gene_9636,1.845739132,1.588399901,1.449716226,1.226770979,1.500172781,1.484639231,1.732772132,1.522265108,1.55301299,1.237479054,1.538509883,1.420795669,1.656835579,1.454188834,1.2646137,1.538139409
Gene_375790,3.082896493,3.161679172,2.908393036,2.888302127,2.929896315,3.105573866,3.433606416,3.284732446,3.393034812,3.009757403,3.187661617,3.327282592,2.120284595,3.447735291,3.149795811,3.211229111
Gene_54991,1.755423978,1.804030267,1.728988375,1.633671341,1.596493518,1.810967027,1.659220942,1.823791979,1.664142139,1.549408139,1.494146623,1.580369893,1.343980678,1.646379687,1.591549705,1.559422172
Gene_51150,2.659681817,2.526754742,2.469176415,2.309555597,2.368313903,2.609129336,2.688140102,2.690793991,2.730421327,2.380487941,2.57844252,2.671188453,2.660944064,2.691082836,2.496991011,2.692248644
Gene_118424,2.318710587,2.162112255,2.176009187,2.112064389,2.048280988,2.280064012,2.305871456,2.319539774,2.233424928,2.163217071,2.304616355,2.279111891,2.267557639,2.313595859,2.269006286,2.323918206
Gene_6339,2.106155464,2.152984447,1.96853854,1.945525271,2.10272015,2.087082404,2.049784702,2.044435141,2.049724641,1.962738378,1.918418317,2.08601922,0.942800045,1.842874067,2.153219396,2.016567329
Gene_116983,3.03750671,2.928970062,2.691726847,2.649119329,2.77840692,2.79417746,2.93229473,2.859865961,2.985958178,2.810122593,2.919678732,2.908634664,1.989093378,2.907878129,3.019352362,2.896675089
Gene_126789,1.657281737,1.793605544,1.500656772,1.564398981,1.660626047,1.887282117,1.807205262,1.654413043,1.7390099,1.89212104,1.877900476,1.840435195,1.506016146,1.926481269,1.743101781,1.854421799
Gene_54973,2.77086989,2.799933554,2.742781226,2.748146546,2.758643648,2.913759939,2.857382236,2.896958613,2.925911307,2.792947732,2.857179484,2.87155937,2.257022474,2.754418884,2.798081131,2.837759991
Gene_80772,1.530281487,1.46155053,1.150589377,0.950769716,1.314668687,1.526747755,1.642888358,1.809534986,1.573623072,1.335654653,1.555059559,1.642479807,0.816050458,1.402929396,0.934938447,1.700116175
