GeneId,GSM5213623,GSM5213624,GSM5213625,GSM5213626,GSM5213627,GSM5213628,GSM5213629,GSM5213630,GSM5213631,GSM5213632,GSM5213633,GSM5213634
Gene_653635,1.912637881,1.863292651,2.02219537,1.977081487,1.856877255,1.805159074,1.904027511,1.942507018,2.269110888,2.291176096,2.018637035,1.934034054
Gene_100996442,1.15192999,1.270245713,0.957856317,1.233435579,1.300591433,1.202128832,1.171880106,1.236477053,1.257316849,1.054158408,0.790231473,1.19257238
Gene_729737,1.381647531,1.333849698,0.881212488,1.154517727,1.175660395,1.01817852,0.695362951,1.011935417,1.526554896,1.217278651,1.250420517,0.981210194
Gene_102723897,1.954343557,1.964238957,2.031189642,2.059825599,1.939062905,1.810470125,1.862819086,1.889574709,2.235147786,2.216241933,2.0239807,2.037684764
Gene_112268260,1.242674572,1.389317548,0.732768043,1.208689481,1.414529456,1.297868128,1.152150106,1.043435134,1.175470634,1.217278651,1.16343713,1.114183964
Gene_100132287,1.281803403,1.333849698,1.079602291,1.154517727,1.230014435,1.10667779,0.633354332,0.751226522,1.526554896,1.217278651,1.182283444,0.940462549
Gene_113219467,2.821979318,2.845333268,2.79280355,2.765757493,2.624851889,2.4007336,2.510932592,2.75770663,3.390054561,3.28647501,2.196920364,2.210156872
Gene_100133331,1.281803403,1.414602874,1.152715317,1.233435579,1.254836509,1.10667779,0.633354332,0.68718082,1.526554896,1.115593559,1.101430302,0.981210194
Gene_105378580,1.15192999,1.362468562,1.195406603,1.233435579,0.476813538,1.180159996,1.27447881,1.21654566,1.074532252,1.169405382,1.396334015,1.167982132
Gene_643837,2.446541174,2.508897501,2.376790959,2.325255213,2.139420777,2.334976861,2.183975615,2.300415945,2.608931055,2.529412049,2.059651327,2.214724445
Gene_148398,2.512899872,2.321470725,2.337583531,2.355341112,2.302736699,2.484350493,2.28554436,2.263588279,2.666374101,2.713832082,2.381518269,2.383818498
Gene_26155,2.621258979,2.431169085,2.557162467,2.659940086,2.572411181,2.737368726,2.594288417,2.630472584,2.715803375,2.739090433,2.688023131,2.466279569
Gene_339451,1.768628921,1.731542261,1.646525752,1.620836608,1.612333466,1.510878185,1.838576634,1.397415158,1.64825181,1.748834223,0.973128341,1.514990134
Gene_57801,2.202105222,1.845447532,2.200942107,2.360757344,2.769654422,2.330217819,2.638620342,2.361487927,2.588541395,2.531615689,2.034474734,2.285816616
Gene_9636,2.814361956,2.760037853,1.938973738,2.411500044,2.787707467,2.8139109,2.903082583,2.153812347,2.561629698,2.216241933,2.87723895,3.086874471
Gene_375790,1.437379124,0.991921488,1.17458532,1.182447696,1.175660395,0.617261109,0.749614068,0,1.412474127,1.217278651,1.029071942,0.788588651
Gene_54991,1.921305579,1.93560036,1.601057712,1.182447696,0.698600718,1.361678852,1.555916581,1.383754092,2.189671002,1.569940953,1.547112262,1.809335115
Gene_51150,2.319554771,2.237810675,2.430855189,2.451139776,2.588371259,2.595287645,2.472140059,2.510820731,2.667825894,2.364854196,2.343787739,2.420686963
Gene_126792,2.326361682,2.378441563,2.202944739,2.227397309,2.148760732,2.404782707,2.428472515,2.229328165,2.667825894,2.587243538,2.341237166,2.205540749
Gene_118424,2.558743815,2.488664046,2.584563076,2.585428318,2.374288638,2.516673142,2.517074038,2.591846349,2.921715213,2.725239741,2.603111591,2.514427984
Gene_6339,1.642087791,1.195701583,1.460840036,0.584809546,0.953832172,1.049724973,0.560993531,0.85647248,1.437813703,1.589612615,1.123097943,1.597635801
Gene_116983,1.921305579,1.99110531,2.186658991,2.107353621,2.052620874,2.167688322,2.083068378,2.059424326,2.410395833,2.374428912,2.222877018,2.047811316
