Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_26271,1.523359081,1.805919901,1.185485368,0.245477856,4.18E-05,0.171177199
Gene_11326,2.236310643,2.782005737,1.244015783,0.31500479,1.26E-05,0.171177199
Gene_2634,2.530404104,3.03490913,1.199377256,0.26228552,9.33E-05,0.171177199
Gene_102723753,2.191331706,1.604744503,0.732314738,-0.449464265,8.90E-05,0.171177199
Gene_11314,1.532228948,1.886932502,1.231495139,0.300410934,5.50E-05,0.171177199
Gene_100289574,2.293932324,1.716009973,0.748064777,-0.418764892,7.60E-05,0.171177199
Gene_10437,1.695649175,2.195251532,1.294637809,0.372548542,7.77E-05,0.171177199
Gene_5265,2.110501331,2.766978183,1.311052564,0.390725529,4.10E-05,0.171177199
Gene_80263,2.102158424,1.798064226,0.855341922,-0.225426844,5.22E-05,0.171177199
Gene_56255,3.150278555,2.98785855,0.948442653,-0.076367551,8.41E-05,0.171177199
Gene_388507,2.180278973,2.538744068,1.16441249,0.21960222,0.000117427,0.185221793
Gene_1843,2.55099141,2.949725641,1.156305596,0.209522733,0.00015144,0.185221793
Gene_834,2.233830392,2.619268651,1.172545892,0.22964439,0.000143716,0.185221793
Gene_10859,2.165173259,2.554408731,1.179771051,0.238506914,0.00014252,0.185221793
Gene_54807,2.876837095,3.053475388,1.061400172,0.085968688,0.000146644,0.185221793
Gene_838,0.447764399,1.368740909,3.056832816,1.612037651,0.000173332,0.187055662
Gene_6688,1.847723292,2.113018578,1.143579554,0.193556731,0.000168239,0.187055662
Gene_28959,2.686249434,2.880490719,1.072309475,0.100721336,0.000218133,0.190565113
Gene_8420,1.131015219,1.442248262,1.275180243,0.350701182,0.000208101,0.190565113
Gene_401321,1.46935877,1.66799255,1.135183989,0.182926147,0.000198139,0.190565113
disease,0,0.875,,,0.000211555,0.190565113
Gene_4860,2.484114722,2.880507772,1.159571153,0.213591348,0.000282393,0.220718882
Gene_6510,1.287347687,1.73342479,1.346508645,0.429223492,0.000300772,0.220718882
Gene_9223,3.507694699,3.376094195,0.962482338,-0.055168028,0.000290014,0.220718882
Gene_5912,1.338637884,1.586216969,1.184948513,0.244824374,0.000289814,0.220718882
Gene_118788,2.214469313,2.543908536,1.148766669,0.200085796,0.000458956,0.223462904
Gene_10184,2.132550063,2.361809726,1.107504938,0.147313131,0.000468615,0.223462904
Gene_55334,2.727884939,2.648515969,0.970904575,-0.042598587,0.000469136,0.223462904
Gene_2212,2.666048182,3.128413109,1.173427071,0.23072818,0.000432254,0.223462904
Gene_107985578,0.946764352,1.395818725,1.474304268,0.5600343,0.000441528,0.223462904
Gene_713,2.75057239,3.190387938,1.159899645,0.213999988,0.000432281,0.223462904
Gene_550,2.951801321,3.098034644,1.049540368,0.069757657,0.000397567,0.223462904
Gene_23764,1.03792708,1.734687126,1.671299611,0.740970386,0.000365896,0.223462904
Gene_54440,1.58043017,1.845604992,1.167786484,0.223776519,0.000335457,0.223462904
Gene_83706,2.0427185,2.343339877,1.147167305,0.198075812,0.000373657,0.223462904
Gene_6280,1.073574778,2.03549453,1.895996974,0.922956661,0.000334213,0.223462904
Gene_91607,2.367373863,2.613001596,1.103755362,0.142420447,0.000459962,0.223462904
Gene_112268259,2.232246362,2.528112521,1.132541893,0.179564417,0.000475038,0.223462904
Gene_112268267,1.968200621,2.405006836,1.221931754,0.289163711,0.000353044,0.223462904
Gene_712,2.466509681,2.934052735,1.189556545,0.250423852,0.000505771,0.226313927
Gene_5104,1.012111428,1.534285907,1.51592588,0.600199216,0.000498033,0.226313927
Gene_1355,3.06639518,2.950947572,0.962350708,-0.055365346,0.000654746,0.232840374
Gene_9592,1.362233316,1.703992001,1.250881168,0.322944742,0.000607519,0.232840374
Gene_143379,1.231193626,0.845805426,0.686980024,-0.541659947,0.000623441,0.232840374
Gene_6282,2.026409263,2.447877969,1.207987949,0.272606062,0.000672656,0.232840374
Gene_118812,2.402366104,2.23903536,0.932012551,-0.101578712,0.000651873,0.232840374
Gene_27180,1.714972135,2.176544566,1.269142817,0.343854425,0.000666319,0.232840374
Gene_389792,1.201466008,1.82214353,1.516600152,0.600840773,0.000564262,0.232840374
Gene_2669,1.544954875,2.095893798,1.356605188,0.440000915,0.00064241,0.232840374
Gene_1051,1.602964661,2.115483015,1.319731537,0.400244483,0.000649553,0.232840374
Gene_7564,2.075646472,2.197772454,1.058837564,0.082481282,0.000576798,0.232840374
Gene_5087,3.164711417,3.018337773,0.953748186,-0.068319687,0.000600294,0.232840374
Gene_116496,1.862167065,2.301132461,1.235728257,0.305361522,0.000536392,0.232840374
Gene_63894,3.210479478,3.147444611,0.980365903,-0.028607787,0.000874988,0.241567643
Gene_4665,1.613988722,1.9716674,1.221611634,0.288785707,0.000915013,0.241567643
Gene_9282,3.190441244,3.067752813,0.961544996,-0.056573724,0.000912265,0.241567643
Gene_84418,2.005449243,2.197091767,1.095560895,0.131669676,0.000971246,0.241567643
Gene_23305,3.462032717,3.230260278,0.933053077,-0.099968944,0.000993928,0.241567643
Gene_257397,2.803379388,2.668075742,0.951735521,-0.071367378,0.001027051,0.241567643
Gene_221749,1.946187239,2.312838687,1.188394745,0.249014131,0.000820035,0.241567643
Gene_10095,2.219334672,2.511962713,1.131853949,0.17868781,0.000760557,0.241567643
Gene_121457,1.242034488,1.675377828,1.348897993,0.431781252,0.00081559,0.241567643
Gene_1017,1.634450674,2.002456441,1.225155628,0.292965022,0.000950204,0.241567643
Gene_56829,2.498986821,2.661862293,1.065176603,0.091092645,0.000750671,0.241567643
Gene_23530,3.414135417,3.284748501,0.962102582,-0.055737368,0.000924461,0.241567643
Gene_23704,1.311255077,2.161587213,1.648487203,0.721142687,0.001025052,0.241567643
Gene_51365,1.925956265,2.538317925,1.317952007,0.398297836,0.000760128,0.241567643
